Class,Urban,Peri-Urban,Rural
OT_SM_LR,96,48,80
WC_SM_LR,96,48,80
CB_SM_LR,96,48,80
ST_SM_LR,96,48,80
WO_SM_LR,96,48,80
TR_OT_LR,96,48,80
IN_SM_LR,96,48,80
WC_SM_MR,125,60,100
CB_SM_MR,125,60,100
CB_CO_MR,125,60,100
ST_SM_MR,125,60,100
WO_SM_MR,125,60,100
OP_SM_MR,125,60,100
OP_OT_MR,125,60,100
FA_OT_MR,125,60,100
OT_SM_MR,125,60,100
RC_CO_HR,125,60,100
CB_SM_HR,125,60,100
