Class,Urban,Peri-Urban,Rural
OT_SM_LR,1,1,1
WC_SM_LR,1,1,1
CB_SM_LR,1,1,1
ST_SM_LR,1,1,1
WO_SM_LR,1,1,1
TR_OT_LR,1,1,1
IN_SM_LR,1,1,1
WC_SM_MR,2,2,2
CB_SM_MR,2,2,2
CB_CO_MR,2,2,2
ST_SM_MR,2,2,2
WO_SM_MR,2,2,2
OP_SM_MR,2,2,2
OP_OT_MR,2,2,2
FA_OT_MR,2,2,2
OT_SM_MR,2,2,2
RC_CO_HR,4,3,3
CB_SM_HR,4,3,3
